date,plage,flag_color,flag_color_code
2023-03-10 10:38:23.17+11,Plage de la promenade Pierre-Vernier,BLUE,0
2023-03-10 10:38:23.17+11,Plage de l'Anse-Vata,BLUE,0
2023-03-10 10:38:23.17+11,Plage de Magenta,BLUE,0
2023-03-10 10:38:23.17+11,Plage du Kuendu Beach,BLUE,0
2023-03-10 10:38:23.17+11,Plage de la baie des Citrons,BLUE,0
2023-03-11 10:31:52.769+11,Plage de la promenade Pierre-Vernier,BLUE,0
2023-03-11 10:31:52.769+11,Plage de l'Anse-Vata,BLUE,0
2023-03-11 10:31:52.769+11,Plage de Magenta,BLUE,0
2023-03-11 10:31:52.769+11,Plage du Kuendu Beach,BLUE,0
2023-03-11 10:31:52.769+11,Plage de la baie des Citrons,BLUE,0
